track_id,song_name,n_artists,main_artist,main_artist_id,main_artist_genres,release_date,explicit,tempo,acousticness,mode,duration_ms,danceability,speechiness,valence,energy,liveness,instrumentalness
79MSEdtXuudhGhC5AtG07g,Break from Toronto,1,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",2013-07-01,1,117.066,0.0199,1,99213,0.596,0.0335,0.259,0.678,0.418,0.004
6bxUnsSGZCmoHHU5auwtps,Beware,3,Big Sean,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",2013-01-01,1,97.127,0.219,1,235187,0.7,0.187,0.0633,0.554,0.419,1.36e-06
0n4bITAu0Y0nigrz3MFJMb,Blurred Lines,3,Robin Thicke,0ZrpamOxcZybMHGg1AYtHP,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",2013-01-01,0,119.993,0.00334,1,263827,0.853,0.0411,0.843,0.599,0.0759,7.93e-06
2wBCrtJS3E3TimRZ5MElTI,The Worst,1,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,"['dance pop', 'pop', 'r&b', 'urban contemporary']",2013-01-01,1,94.895,0.253,0,254493,0.539,0.0601,0.123,0.414,0.143,1.3e-06
2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,2,Sevyn Streeter,6If57j6e3TXXk0HiLcIZca,"['alternative r&b', 'dance pop', 'hip pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen', 'urban contemporary']",2013-12-03,0,119.992,0.016,0,281080,0.657,0.0407,0.211,0.574,0.172,8.1e-05
4IeUAegXVbETb7FpgNDnSM,I Luv This Shit,2,August Alsina,19Fi1Rj7kk8kyiwxpXy3yM,"['pop r&b', 'pop rap', 'r&b', 'trap', 'urban contemporary']",2013-01-01,1,123.942,0.00475,0,267920,0.643,0.277,0.405,0.592,0.222,1.54e-06
5nkUIVKqOqdpB6ApKgEMkv,Stay Ready (What A Life),2,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,"['dance pop', 'pop', 'r&b', 'urban contemporary']",2013-01-01,1,82.887,0.455,0,382760,0.347,0.29,0.308,0.493,0.127,0.00366
0USZx50eApN045zIIyjePN,All The Time,3,Jeremih,3KV3p5EY4AvKxOlhGHORLg,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",2013-01-01,1,109.823,0.545,0,264200,0.675,0.349,0.0338,0.44,0.197,6.24e-06
2ekdnv2xVIyAdG3ySoDDeY,Wus Good / Curious,1,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",2013-07-01,1,82.878,0.0727,0,212880,0.344,0.079,0.453,0.537,0.225,0.000127
0rFZaQ4crlGAzuCjWCQ2xu,Body Party,1,Ciara,2NdeV5rLm47xAvogXrYhJX,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",2013-07-05,0,133.973,0.0143,1,234040,0.577,0.0563,0.12,0.576,0.602,0.0
5Ck3e6z1bcSCes5gdo0Ddt,Bed Peace,2,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,"['dance pop', 'pop', 'r&b', 'urban contemporary']",2013-01-01,1,119.859,0.269,1,256080,0.628,0.0575,0.299,0.566,0.135,3.67e-05
5yhKaacMZGRo4s6evJx9vk,Bad (feat. Rihanna) - Remix,2,Wale,67nwj3Y5sZQLl72VNUHEYE,"['dance pop', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",2013-06-25,1,114.038,0.307,0,238827,0.807,0.0748,0.447,0.702,0.111,0.0
0vvKyFjX1hzSwpNtVwnJ2H,Can't Raise a Man,1,K. Michelle,2retT7MFwHDVTeGKDdybEx,"['hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']",2013-08-05,0,151.804,0.0233,1,208040,0.623,0.0639,0.182,0.677,0.0724,0.0
55nlbqqFVnSsArIeYSQlqx,You & I (Nobody in the World),1,John Legend,5y2Xq6xcjJb2jVM54GHK3t,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",2013-08-30,0,84.087,0.129,0,252653,0.456,0.0283,0.224,0.342,0.124,0.0
5idmfDT06TjCQ1SPDsa5qh,Kiss Land,1,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",2013-09-10,1,121.881,0.0415,0,455333,0.324,0.109,0.4,0.852,0.061,0.0
