track_id,song_name,n_artists,main_artist,main_artist_id,main_artist_genres,release_date,explicit,tempo,acousticness,mode,duration_ms,danceability,speechiness,valence,energy,liveness,instrumentalness,comb,lyrics,n_words,duration_min,wpm
3eDRjkhT93bg7Kjp66uXPw,About Him,1,Alex Isley,7E2ioKxoxI2J94tUkIx6As,"['alternative r&b', 'chill r&b', 'high vibe', 'indie r&b', 'indie soul', 'neo soul', 'r&b']",2013-08-10,0,83.113,0.77,0,287060,0.718,0.105,0.43,0.236,0.123,0.00497,About Him ::: Alex Isley,"Oh, every time I see you,you make my heart say
""Ooh, yeah, yeah, yeah""
""Ooh, yeah, yeah, yeah""
""Ooh, yeah, yeah, yeah""

You're like sugar, so sweet
I know this one's for me
It don't matter
Whatever the weather
'Cause you're mine
Rain or shine
When I call you ""darling""
Can't help but smile
Time can stop forever
That would be fine
I'm where I wanna be
I really want to make you see

If they don't know nothin' else
They know I'm about you (Ooh, yeah, yeah, yeah)
I'm tellin' everyone I know, this song is about you (Ooh, yeah, yeah, yeah)
And I'ma sing it all day, all night, 'cause I want to (Ooh, yeah, yeah, yeah)
I wanna tell the whole wide world 'bout your love, your love, your love

It feels just like the first day
What you give me
It don't change, no
And remember, I ain't leavin' never
You're who I'm here for
Yeah, I'm yours

When I call you ""darling""
Can't help but smile, yeah
Time can stop forever
That would be fine
I'm where I wanna be
I really want to make you see
If they don't know nothin' else
They know I'm about you (Ooh, yeah, yeah, yeah)
I'm tellin' everyone I know, this song is about you (Ooh, yeah, yeah, yeah)
And I'ma sing it all day, all night, 'cause I want to, hey, yeah (Ooh, yeah, yeah, yeah)
I wanna tell the whole wide world 'bout your love, your love, your love
Your love, your love

Love, love, love, love, love, love, love
Love, love, love, love, love, love, love
Love, love, love, love, love, love, love
Love, love, love, love, love, love
Love, love, love
I'm telling everyone I know about you (Ooh, yeah, yeah, yeah)
I'm telling everyone I know, this song is about you (Ooh, yeah, yeah, yeah)
And i'ma sing it all day, all night, 'cause I want to (Ooh, yeah, yeah, yeah)
I wana tell the whole wide world 'bout your love, your love, your love
Your love, oh baby (Ooh, yeah, yeah, yeah)
I'm telling everyone I know, this song is about you baby (Ooh, yeah, yeah, yeah)
And i'ma sing it all day, all night, 'cause I want to (Ooh, yeah, yeah, yeah)
I wanna tell the whole wide world 'bout your love, your love, your love, your love, your love (Ooh, yeah, yeah, yeah)

I wanna tell the whole wide world 'bout your love, your love, your love, your love
Your love, baby",428,4.7843333333333335,89.45864975963212
517xgrbCjSZVK75Yddxdfm,If I Fall in Love,1,J-Shin,61whxt4O1XSL0DNux0eTtp,"['contemporary r&b', 'urban contemporary']",2013,0,142.629,0.237,0,204147,0.616,0.141,0.423,0.567,0.107,0.0,If I Fall in Love ::: J-Shin,"I'm sitting here on the phone
Blackberry to my head
Repeating all word you just said
You said it's getting real
And you don't know how I feel
You're falling in love
And now you're getting scared
(You wanna know)Do I feel the same
I'll be lying if I said yeah
Something we need to address
Before you hear me say yes
I've been down this road a time or two
So it's gotta be right for me and you
(So if I fall in love)
You gotta ride for me, like I'ma ride for you
(If I fall in love)
You gotta fight for me, the way I fight for you
(If I fall in love) Fall in love
You gotta hold it down, even when I'm not around
(If I fall in love, in love, in love, in love)

It's been 3 months, 4 days, 5 seconds till the minute
But who's counting?
And I ain't never ever, not once though about bouncing
They say you shouldn't ask questions
You don't wanna know the answer to
But I'm gon' answer you
See, I could be in love with you
But you would not believe it
And I could say I'm in love with you
And you'd say I make things easy
But, I've been down this road a time or two
That's why I only say
What I feel for you

(So if I fall in love)
You gotta ride for me, like I'ma ride for you
(If I fall in love)
You gotta fight for me, the way I fight for you
(If I fall in love) Fall in love
You gotta hold it down, even when I'm not around
(If I fall in love,in love, in love, in love)
Giiiirrrl, it's not that I don't want to be in love
But my love is stronger than you ever dreamed of
Have you ever had a hundred percent ?
A hundred percent of anything
When you look in my eyes and I don't reply
I don't want you to think that I
I don't love you, cause I doooooo
You're just not ready for me to show you, Girl

(So if I fall in love)
C'mon Baby
(If I fall in love)
I'll fight for you and you'll fight for me
(If I fall in love) If I were to fall in love
I'll hold it down with you and me girl
(If I fall in love, in love, in love, in love) Love

(So if I fall in love) If I fall in love
Baby tell me (If I fall in love)
Would you be there?
Would you be there baby? Hey
(If I fall in love) If I fall in love again
This time it's gonna be right
(If I fall in love,in love, in love, in love) All Right",479,3.40245,140.78090787520756
2hEQRGEAx4YKGh0Kg7djab,Creep,1,Daniela Andrade,0WfaItAbs4vlgIA1cuqGtJ,"['canadian contemporary r&b', 'folk-pop']",2013-04-04,0,74.866,0.812,1,214000,0.505,0.03,0.158,0.198,0.139,1.41e-05,Creep ::: Daniela Andrade,"Couldn't look you in the eyes
You look like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so very special
But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
I don't care if it hurts
I want to have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so very special
I wish I was special
Oh she's running away
Oh she's running
Oh she's running away
Oh she's running
Whatever makes you happy
Whatever you want
You're so very special
I wish I was special",121,3.566666666666667,33.92523364485981
6KGp8jjoVj7SVzb1pMmuoM,Clean This House,1,Isaac Carree,2bTfKyEM0bSDqmDcZybqzH,"['gospel', 'gospel r&b']",2013-06-25,0,115.994,0.317,1,318806,0.679,0.0411,0.396,0.595,0.107,0.0,Clean This House ::: Isaac Carree,"For forgiving me over and over again yeah
I'm calling on you heavenly father
I'm down on my knees
You said call on you no matter the hour
Lord I'm in need
I've been messing up, done lost my house
Done lost my job, wife walking out?
These church folk say they my friends
But I'm all they talk about
I've been doing wrong, I'm so sorry
Lord please forgive me
We confess to him he'll remove all wickedness
The blood from your son will wash me from my sins
Clean this house, from the inside out
Restore me, take away my impurity
Lord I need you to
Clean this house, from the inside out
Restore me, take away my impurity
I said if you got me out that last situation
I wouldn't do it again
What can I say but I'm only human and lord here I stand
I've been smoking a lot, and drinking a lot
And all up in the club
I've been doing this, I've been doing that
And I had no business doing it
No church or no bible study ain't been in my word
Now I know better than this
Can't live my life in sin
We confess to him he'll remove all wickedness
The blood from your son will wash me from my sins
Clean this house, from the inside out
Restore me, take away my impurity
Lord I need you to
Clean this house, from the inside out
Restore me, take away my impurity
Listen
Now if it wasn't for your grace and mercy
I don't know where I would be
'cause you brought me out, brought me out
Without a doubt, without a doubt
You're more than a friend, more than a friend
You're a confident, thank you lord for cleansing me
I will always serve thee
Clean this house, from the inside out
Restore me, take away my impurity
(break it down, break it down, break it down)
Now everybody need a little cleaning sometimes
And yeah, I can introduce you to the best cleaner alive
Every now and then we all go through a little strife
But if you let him he will change your life
Now I can hear you saying
That life's been rough, you've been going through a
Whole lot of stuff
God specializes in the impossible
Just trust and believe
His grace is more than enough
Clean house
In out
Restore me
Impurities",408,5.313433333333333,76.78650966418449
4rRjuNNUJKryqqTnL5wJtg,Leave Me Alone (feat. Erykah Badu),1,RC & The Gritz,7FaQi3otcN7fUOHr8ODW8d,['neo r&b'],2013-11-26,0,89.032,0.0274,1,286640,0.718,0.0567,0.78,0.434,0.0876,0.158,Leave Me Alone (feat. Erykah Badu) ::: RC & The Gritz,"In the store
It’s ‘bout to close (oh, my)
(Oh my gosh, is that her?)
(You know that’s her)
Merchandise up on the counter
(Debit or credit?)
Look to the left
(Damn)
(I’m going to say hi her)
Oh, oh, oh, no
(Baby, please)
They saw me
(I was just trying to leave though, I was)
(No questions)
(Laughing)
(Saw it comin’)
Don’t take me for granted
Don’t take, take, me for granted

So when you see me at the store when I’m trying to go
Don’t lock the door, go’on on, leave me ‘lone
Go on’on leave me ‘lone, leave me ‘lone
So when you see me at the bar lookin’ like a star
Say hi and go’on on, go’on on, make a wish
Go’on on leave me ‘lone
So when you see with my man and we holdin’ hands
(When we holdin’ hands)
I’m not gon’ respond go’on on leave me ‘lone
Go’on on, leave me ‘lone, go’on on
So when you see with my baby all this is facts (baby this is facts)
Don’t make me mad go’on on, leave me ‘lone
Leave me ‘lone, leave me ‘lone, leave me lone
Baby
Hey, oh, oh
Oh, oh, ohh

In the car
At the light (car honks)
Listenin’ to my favorite group on the radio
Hey there mister, give me some cash
Couple bucks to clean your glass, oh
Uh uh, excuse me ma’m
Do you have any spare change?
Oh no he saw me (damn, he caught me slippin’)
But don’t take me for granted
Don’t take me for granted

So when you see me in my yard and I’m working hard
(And I’m working hard)
Just blow, then go, leave me ‘lone, leave me ‘lone
Leave me ‘lone, leave me’ lone
So if you see me in the gym, automatic slim (automatic slim)
Say hi go’on on, go’on on, leave me ‘lone
Go’on on, leave me ‘lone
So if you see me on the floor
Shake ‘em up and roll (shake up em’ up and roll)
Ten or four, ha, leave me ‘lone, leave me ‘lone (dice rolling)
Leave me ‘lone, ha, ‘one
So if you see me at the bank
You gon’ have to wait (they gon’ lock that gate)
Lock the door, lock the gate
Gotta date, being Frank
Go’on, on, on, on
You chuckin’, forreal?
I might need to, y’all gotta back exit?
Oh no, oh no
No way
Oh no, no, no, no
No, no
No, no, no, oh

Sing it, yeah, yeah, yeah
Oh, yeah
C’mon and sing it yeah, yeah, yeah
Oh, oh, yeah
Sing it, yeah, yeah, yeah
Oh, yeah
C’mon and sing it yeah, yeah, yeah
Yeah, Yeah
Sing it yea, yeah, yeah
Oh yeah
C’mon and sing it yea, yeah, yeah, hey
C’mon and sing it yea, yeah, yeah, yeah
Ooohh
C’mon sing it yea, yeah
Yea, yeah, yeah",486,4.777333333333333,101.73039352497908
0lUt61v9PK6Qrl0GjkTXAw,Worthy,1,Jacob Banks,0AepkoQhYvkjEzzwIcGxdV,['uk contemporary r&b'],2013-04-26,0,120.057,0.703,0,197701,0.672,0.0298,0.362,0.483,0.115,7.38e-06,Worthy ::: Jacob Banks,"Suddenly the clouds have opened up
And I'm being seen in all of my glory
The time has come for fate to decide
If a part of me is even worthy
The air is warm, my heart is cold
And I'll never know how it feels
The air is warm, my heart is cold
And I'll never know how it feels
To have a heart of gold
I feel worthy somehow
Please, I don't want to go down, down
The new world is calling me now
Please don't let me go down, down
And I feel worthy somehow
Please don't let me go down, down
The new world is calling me now
Please don't let me go down, down

Just one step unto the lonely road
He scarred me for life
No time to reflect as I was getting by
Getting by, enjoying life
The time has come for judgment day
And I'm standing here, begging you
Please take pity on me, take pity on me


Oh, please don't let me go down
I don't want to go down",182,3.2950166666666667,55.23492546825762
6IgD1x4l46OVSkfzfUw0fO,Plato's Cave,1,Stoop Kids,1Rxe2OboMb1Bx2n49182AJ,"['indie r&b', 'new orleans indie']",2013-03-03,1,134.993,0.808,1,245333,0.654,0.0719,0.495,0.563,0.136,0.00494,Plato's Cave ::: Stoop Kids,"He’s been home schooled and trained for an american dream
His work habits are like rabbits when they fuck on routine
But then he thought a dirty thought that he couldn’t get clean
Jeffrey thought, i’m always told how and and what for
I work every single everyday and never explore
After that Jeffrey never went back to his store
All he does is smoke weed and ask his parents for more
It’s ok in plato’s cave
It’s ok in plato’s cave
Jenny’s not a bad girl, she never really was
She only liked guitars with fuzz cause her daddy got buzzed
And one time she heard thuds when she was six years of age
Her mom was on a business trip to the garden state
So she got out of bed to see what was the noise
Then she saw her daddy with a girl named Joy
If she never got up she could’ve changed her fate
Now she will always pick the person who will treat her like bait
Johnny just bought a diamond ring
For his girlfriend jenny who likes shiny things
And she’s not too smart, oh he’s not too cute
But Jenny likes Jeff and Jeff likes her too
It’s okay",202,4.088883333333333,49.40224103565358
0JEDzu6XnOIocY6u2zhe5K,As Time Goes By,1,Phora,5XDJlfdfbGNJrOJJNxTcdq,"['deep underground hip hop', 'oc rap', 'pop r&b', 'r&b']",2013-11-03,1,84.052,0.848,0,245272,0.478,0.193,0.301,0.66,0.325,0.00526,As Time Goes By ::: Phora,"I know we had our differences, but girl it's time to let it go
Cause right now is when I need you the most
Things ain't always what they seem until you see em' up close
So can you see it?
If I said you were the one, would you believe it?
If I told you love is pain, would that be something you'd agree with?
Just leave it and see where life takes us
I know you've heard a lot of shit
But I promised it, no one's gonna break us
Lying on the ground, looking at the stars above
Wondering if the angels are looking down on us
It got me wondering if Lalo can see me
Cause if he could, he'd probably be proud of me, life isn't easy
I know it, especially when your loved one's coming and going
I'm having trouble with my feelings, can't show no emotions
Gave em' everything I had, you can call it devotion
Did this for my people and my family, I hope that they notice
Yeah, but as time keeps passing
Everything changes, that's the way things happen
I used to hate that I loved you so much
Cause when I felt like giving up
In my mind you were stuck
Stuck in my mind, shit I just couldn't leave you behind
Till I realized that all I really needed was time
Cause time heals everything, even broken hearts
Run my fingers through your hair, till you kiss me in the dark
Form my hands around your waist, tell you everything's okay
Listen, all I need is you girl, so tell me that you'll stay
In touch with the soul, intact with the spirit
I wrote this song for you, I just hope that you hear it
But if not, at least I know I tried
Throw my ashes in the ocean, feel my spirit in the sky
Sometimes I sit alone, all alone and wonder why
Why life is such a motherfucking bitch and then you die
Well, shit I guess nothing's guaranteed in life
I just hope you think of me before you sleep at night
I'm depressed, the doctor just says I ain't eating right
But I feel like it's something more than that
Cause it hurts to know that Brian has cancer
Cause that's what my grandpa died from
So many questions with no answers
Guess these are the things you just can't hide from
But I don't wanna hide no more
I don't wanna be shy when I look into your eyes no more
I don't want nobody else cause baby I'm all yours
And I'mma let it be known from CA to the 904
Everyone needs someone, no one wants to be forgotten
Cause we all need someone to talk with
Someone that we can share our thoughts with
2 AM cartoons, rice krispies and hot chocolate
What I'm tryna say is that somebody for me is you
It was our destiny to meet, I know you see it too
But as time keeps ticking away
I love you like you'll never know until the end of my days
Yours Truly
I feel your heart becoming close
I love you like you'll never know
I feel your heart becoming so close
I love you like you'll never know
As time is passing by
I sit alone and wonder why
I sit alone and wonder why",572,4.087866666666667,139.9262859193059
5JXiWu9sTkRyOEyC1OQeJM,It Might Be You,1,Kai,07cXXY7NDK9oWLUvPfUVvx,['contemporary r&b'],2013-07-30,0,88.032,0.595,1,260507,0.848,0.0366,0.655,0.449,0.165,6.39e-05,It Might Be You ::: Kai,"Time
I've been passing time watching trains go by
All of my life
Lying on the sand watching sea birds fly
Wishing there would be someone waiting home for me
Something's telling me it might be you
Yes, it's telling me it might be you
All of my life

Looking back as lovers go walking past
All of my life
Wondering how they met and what makes it last
If I found the place, would I recognize the face?
Something's telling me it might be you
Yeah, it's telling me it might be you
So many quiet roads to take
So many dreams to make
And with so much love to make
I think we're gonna need some time
Maybe all we need is time
And it's telling me it might be you
All of my life

I've been saving love songs and lullabies
And there's so much more
No one's ever heard before
Something's telling me it might be you
Yeah, it's telling me it must be you
And I'm feeling it'll just be you all of my life

Yeah, maybe it's you, maybe it's you
I've been waiting for all of my life
Maybe it's you, maybe it's you
I've been waiting for you all of my life, yeah
Maybe it's you, maybe it's you
I've been waiting for all of my life",228,4.341783333333334,52.5129842960074
3YKEAKFs6FBjAAolCIFOsv,Imagine Me,1,Alexis Spight,60TmfPS3h98rLg7M2nTmlX,['gospel r&b'],2013-03-12,0,172.232,0.101,1,209673,0.573,0.273,0.711,0.714,0.318,0.000117,Imagine Me ::: Alexis Spight,"Imagine me
Loving what I see when the mirror looks at me cause I
I imagine me
In a place of no insecurities and
I'm finally happy cause
I imagine me
Letting go of all of the ones who hurt me
Cause they never did deserve me
Can you imagine me?
Saying no to thoughts that try to control me
Remembering all you told me
Lord, can you imagine me?
Over what my mama said
And healed from what my daddy did and
I wanna live and not read that page again
Oh, oh...
(Imagine me) Imagine me, (being free) being free
Trusting (trusting) you (you) totally (totally, finally)
I can... (I can imagine me)
I will admit it was hard to see
You being in love with someone like me.. yeah
Finally I can...
Imagine me
Being strong
And not letting people break me down
You won't get that joy this time around
Imagine me
In a world where nobody has to live afraid
Because of your love, fear's gone away
Can you imagine me?
Letting go of my past and
I'm glad I have another chance and
My heart will dance
'Cause I don't have to read that page again
Ooh
(Imagine me, being free) Oh, I can change myself, (trusting you totally) oh, yeah, oh, oh, yeah. (Finally, I can...imagine me)
(Rap)
I used to beat myself up all the time
Always been strange so I thought I'd never shine
Trying to be accepted, always was rejected
But the Lord held me in his hand
Kept me in his plan
I thought I would go astray
But he kept me by his grace
It's only by his grace that I'm standing here today
I can smile at you and say that I'm free, yeah, yeah, yeah
Oh can you imagine me? (Bye bye) Oh... (So long)
So long (Bye bye)
Look at your problems (So long) and tell 'em bye bye (Bye bye)
My fears, (So long) my insecurities, (Bye bye) You have no place here (So long)
It's all gone. (Bye bye) All gone. (So long) Bye bye. (Bye bye) Bye bye. (So long)
You have no place here. (Bye bye) Bye bye. (So long)
Can you imagine me?
Can you imagine me?",377,3.49455,107.8822738263868
