acousticness,danceability,energy,log_instrumentalness,log_liveness,log_speechiness,valence
0.922,0.438,0.266,-8.115066984573588,-1.910536248484092,-3.3159099898814106,0.116
0.85,0.436,0.358,-2.818406508305107,-1.6607259436776065,-1.262304847776238,0.333
0.271,0.589,0.507,-13.815510557964274,-1.093621762086899,-2.7165714036458914,0.33
0.196,0.789,0.588,-13.815510557964274,-2.5083677210368176,-2.485294725079476,0.234
0.0442,0.551,0.449,-4.989216326722956,-2.487698543498795,-2.753555017940114,0.392
0.0529,0.701,0.812,-13.815510557964274,-1.6450599087435245,-2.956492329816388,0.732
0.149,0.778,0.642,-13.815510557964274,-2.244306750952305,-1.9877670539105785,0.786
0.0159,0.773,0.86,-13.815510557964274,-1.4439192366773688,-2.040213136248448,0.715
0.0982,0.554,0.61,-2.510827716619401,-0.5780325909298349,-2.52072866506362,0.497
0.453,0.89,0.523,-12.867721159030747,-2.487698543498795,-2.882385731263568,0.345
0.522,0.623,0.296,-1.5558924061808084,-2.524466940591246,-3.4705153059730525,0.158
0.253,0.79,0.58,-13.815510557964274,-1.5050733926154984,-2.087465648893489,0.36
0.0119,0.876,0.473,-13.815510557964274,-2.518244222598629,-2.23491709876951,0.189
0.0964,0.299,0.472,-10.11420858385178,-1.546458418448052,-3.2968103396761093,0.223
0.905,0.641,0.438,-8.910235779525845,-2.2256147926415246,-2.0249457806668865,0.343
0.228,0.798,0.341,-9.830237090796537,-1.5798742558354064,-3.0597162817955925,0.393
0.231,0.63,0.437,-13.815510557964274,-2.424741427597063,-2.079433541711836,0.455
0.315,0.637,0.494,-12.212090717855736,-2.1370621799761103,-3.332576579384368,0.416
0.0495,0.605,0.885,-13.815510557964274,-1.9038022616498036,-2.52571614438638,0.643
0.0192,0.795,0.693,-6.683812047497363,-2.6324651061460127,-2.320738880374177,0.772
0.175,0.743,0.548,-8.617013526698448,-2.4304071009321326,-2.3570307191837663,0.558
0.501,0.517,0.336,-13.815510557964274,-1.995093040331941,-0.4447242620002813,0.317
0.101,0.573,0.714,-9.04482593349861,-1.1457007515528166,-1.298279820800223,0.711
0.355,0.567,0.666,-12.226275352847694,-2.2163982224831504,-2.7757778019531854,0.571
0.933,0.543,0.327,-13.018003362080083,-0.3783349808669626,-2.77257272236778,0.291
0.965,0.763,0.494,-6.359056002788065,-1.7544579041542434,-3.0220557152235066,0.347
0.366,0.65,0.462,-13.815510557964274,-1.838844787473507,-2.419107673358064,0.649
0.212,0.776,0.445,-5.498965840034876,-2.087465648893489,-3.2941113555541075,0.405
0.225,0.83,0.585,-6.17011285853564,-2.854215350319883,-3.307679716543695,0.642
0.624,0.571,0.37,-13.815510557964274,-0.4124882124722515,-2.154156467223275,0.918
0.458,0.294,0.375,-4.448080970745316,-2.343396670901887,-3.11224361815232,0.264
0.47,0.583,0.677,-1.6450599087435245,-0.8439677447158378,-0.8232535880052322,0.495
0.828,0.347,0.395,-11.364505459851957,-2.079433541711836,-2.869963431719652,0.133
0.105,0.76,0.665,-0.91879135582975,-2.359144862527847,-2.79359174972807,0.808
0.824,0.448,0.263,-12.747357476780872,-2.244306750952305,-3.288735143040265,0.451
0.436,0.579,0.596,-2.366579762045976,-2.9022237156962944,-2.8806016413004123,0.443
0.781,0.818,0.522,-8.408338786504155,-1.3355974445302323,-2.366579762045976,0.559
0.106,0.457,0.575,-13.815510557964274,-0.7011773361302097,-1.8578928614967356,0.422
0.65,0.523,0.543,-13.815510557964274,-1.3586753030439038,-1.8578928614967356,0.318
0.00372,0.675,0.5,-5.9215654197283145,-2.17154805869629,-2.9642142268374454,0.0709
0.269,0.561,0.247,-11.701667589567103,-2.0249457806668865,-1.1177920499855842,0.288
0.928,0.394,0.282,-13.815510557964274,-1.0729416179471984,-3.304951276336428,0.296
0.277,0.432,0.52,-0.9915505209605447,-1.9804943474743757,-2.9040468370194805,0.303
0.766,0.446,0.409,-13.815510557964274,-2.417984721223798,-2.9058732881856577,0.348
0.765,0.691,0.389,-13.815510557964274,-2.363386605454708,-3.304951276336428,0.306
0.382,0.491,0.375,-13.815510557964274,-2.273016582061767,-1.6094329124466005,0.19
0.151,0.693,0.586,-7.667042262046627,-2.1982160687013748,-3.3186685362225634,0.509
0.272,0.666,0.39,-11.474666752853135,-2.1982160687013748,-2.479310338391075,0.325
0.449,0.876,0.288,-7.831574277277084,-1.2039694709981583,-1.136311040592176,0.279
0.00607,0.811,0.554,-7.461140517166924,-2.334065440221226,-3.201502616810856,0.119
0.0886,0.646,0.633,-13.815510557964274,-2.154156467223275,-2.64365387757424,0.505
0.81,0.676,0.462,-3.554313596732628,-1.5050733926154984,-3.2968103396761093,0.369
0.354,0.81,0.308,-13.815510557964274,-2.409046214095905,-2.5034658105092844,0.56
0.841,0.321,0.317,-6.057177090473363,-2.353867861121208,-3.072591719851049,0.253
0.281,0.668,0.815,-13.815510557964274,-1.3983628937793593,-1.532472241679059,0.885
0.314,0.627,0.81,-13.815510557964274,-0.6051344717370776,-1.25877751970037,0.637
0.709,0.603,0.511,-3.789761125895191,-1.5417745910740073,-3.0682814612437195,0.142
0.0023,0.803,0.452,-13.815510557964274,-2.5996308683987923,-3.2648935857017745,0.197
0.414,0.667,0.591,-13.815510557964274,-1.8515031042273624,-3.411217414944481,0.434
0.164,0.884,0.474,-13.815510557964274,-3.186868566233221,-2.2633547645023766,0.744
0.456,0.84,0.344,-10.271656875900597,-1.0498192673599025,-3.286057836951189,0.526
0.536,0.67,0.711,-6.508308243199536,-1.4188134206025833,-2.877042982004892,0.509
0.856,0.531,0.352,-11.442467001321669,-2.44068691413333,-1.1551794655583685,0.537
0.177,0.657,0.519,-13.815510557964274,-2.547194904674852,-1.3280216794181292,0.291
0.554,0.356,0.44,-12.306998564120134,-0.5960186549488367,-2.89677420992115,0.125
0.112,0.701,0.396,-3.8679582742660457,-1.50057902322714,-2.1286233825445717,0.115
0.191,0.724,0.343,-0.5816040169198722,-2.2633547645023766,-3.040708719201465,0.176
0.61,0.513,0.822,-12.664938530365454,-0.4185488279011357,-0.8096787496274106,0.569
0.206,0.581,0.452,-5.716563809020935,-2.4292713953666243,-1.8971133182414368,0.523
0.0471,0.572,0.498,-12.080321440224614,-1.3983628937793593,-0.8416448686954661,0.549
0.605,0.672,0.472,-13.815510557964274,-2.3870433682868795,-1.4105829553366778,0.395
0.173,0.645,0.786,-13.815510557964274,-1.9877670539105785,-1.6713079970173983,0.452
0.161,0.599,0.449,-10.497694785241167,-2.23491709876951,-2.939333036704872,0.143
0.346,0.881,0.758,-1.9732741516327192,-1.5798742558354064,-1.5606429863712443,0.7
0.26,0.676,0.554,-9.915560133770397,-2.3025750930440454,-2.620025587610102,0.43
0.556,0.39,0.661,-13.815510557964274,-1.3318023879642071,-2.806749617887031,0.487
0.275,0.761,0.336,-13.815510557964274,-2.629687365161896,-2.009908016372504,0.447
0.902,0.479,0.364,-9.40879131070002,-2.292624861199793,-2.8034438843928537,0.372
0.33,0.736,0.449,-8.721760357157512,-2.410159167878525,-0.855663757119312,0.326
0.777,0.535,0.409,-13.815510557964274,-2.047935122712526,-2.459227207201386,0.138
0.00183,0.506,0.746,-13.815510557964274,-2.2163982224831504,-3.483460051629581,0.299
0.125,0.743,0.449,-13.815510557964274,-2.689704516985435,-1.4481655095278831,0.622
0.124,0.781,0.683,-5.888547013101296,-2.103726037561162,-2.697095424378688,0.586
0.733,0.676,0.442,-13.815510557964274,-1.8971133182414368,-3.307679716543695,0.739
0.348,0.684,0.467,-13.102560750108148,-2.063560318538798,-0.6424521651055498,0.443
0.287,0.732,0.413,-13.815510557964274,-2.873496941871325,-2.6563927230375857,0.761
0.476,0.387,0.419,-6.324981155903562,-2.103726037561162,-1.698263661674772,0.337
0.723,0.357,0.533,-13.815510557964274,-2.292624861199793,-2.554887151678483,0.318
0.547,0.706,0.483,-12.737100976613684,-1.995093040331941,-3.2365053151380265,0.663
0.242,0.668,0.546,-13.815510557964274,-1.944903655739688,-2.5269669106436723,0.488
0.355,0.726,0.296,-13.815510557964274,-2.189247479155473,-3.2365053151380265,0.148
0.259,0.582,0.502,-7.877974352881847,-1.8325752137678413,-2.282772661824356,0.555
0.84,0.778,0.291,-9.393062008791476,-0.4155139288112984,-2.244306750952305,0.353
0.808,0.654,0.563,-5.310187539118524,-1.995093040331941,-2.6324651061460127,0.495
0.867,0.827,0.468,-11.897118437802852,-2.336131535314725,-2.3740703536182406,0.529
0.732,0.476,0.44,-3.77221758573727,-2.5600483868618302,-3.2941113555541075,0.161
0.181,0.649,0.509,-7.329349769020185,-0.070421391335748,-2.7196016630819786,0.223
0.0163,0.763,0.444,-13.815510557964274,-0.8746666591046763,-2.7661932171509256,0.564
0.162,0.543,0.281,-5.728792637660368,-1.944903655739688,-2.77097402656278,0.0686
0.528,0.631,0.474,-13.815510557964274,-2.063560318538798,-3.177230169649569,0.392
0.65,0.609,0.418,-13.815510557964274,-2.207265822321952,-1.5417745910740073,0.231
0.199,0.666,0.326,-13.815510557964274,-2.307587584616837,-3.4705153059730525,0.259
0.314,0.633,0.604,-6.096380717057542,-1.7429635907892351,-3.249309259489156,0.418
0.83,0.619,0.294,-9.84899936725206,-2.273016582061767,-3.4899958090210035,0.311
0.504,0.756,0.426,-3.233964082289674,-2.425871997185327,-2.5969427308679167,0.355
0.53,0.51,0.434,-13.815510557964274,-2.3444388696184357,-3.1844502438532136,0.214
0.347,0.655,0.554,-2.292624861199793,-2.103726037561162,-2.95841722117318,0.696
0.606,0.551,0.44,-10.375092463148835,-2.207265822321952,-2.317688578571364,0.341
0.0716,0.598,0.475,-9.279690450110976,-2.69117833488202,-2.948829603867772,0.331
0.853,0.51,0.363,-13.815510557964274,-2.2163982224831504,-3.493279776374139,0.426
0.00368,0.531,0.619,-10.834891922220333,-2.3946894170496846,-2.6036766723557605,0.566
0.0128,0.846,0.424,-13.815510557964274,-2.1455727972123597,-2.5982858963732034,0.615
0.0962,0.826,0.709,-7.343164263463374,-0.9238164794064314,-3.299516628031858,0.956
0.897,0.473,0.424,-8.902855672228222,-2.12025520290148,-3.174835016292612,0.457
0.964,0.699,0.0752,-3.3159099898814106,-2.244306750952305,-1.4784052640724024,0.481
0.459,0.711,0.747,-13.815510557964274,-2.346526531257028,-2.9507397876351624,0.852
0.341,0.756,0.517,-10.490474537267684,-2.273016582061767,-2.306583074281344,0.267
0.502,0.603,0.433,-12.991335114997923,-2.055717202593037,-3.090020975244768,0.207
0.89,0.562,0.212,-8.262550973042657,-2.421357367786159,-3.3297794530047065,0.349
0.0778,0.638,0.53,-1.093621762086899,-2.273016582061767,-2.273016582061767,0.548
0.0588,0.612,0.55,-13.815510557964274,-2.397984276759105,-2.9318001862602583,0.095
0.443,0.501,0.481,-13.815510557964274,-2.409046214095905,-2.3444388696184357,0.446
0.0888,0.575,0.681,-13.815510557964274,-1.5186789829660157,-2.063560318538798,0.232
0.39,0.606,0.275,-13.815510557964274,-2.0024730931637347,-3.547345170220817,0.19
0.209,0.552,0.883,-12.038864726546269,-2.3946894170496846,-3.338194413883422,0.745
0.457,0.617,0.456,-13.815510557964274,-2.3935935385386777,-3.066133278853315,0.134
0.106,0.641,0.456,-13.815510557964274,-1.3280216794181292,-2.767784282067884,0.308
0.285,0.73,0.429,-13.815510557964274,-2.3957864978280625,-2.3687142117949778,0.239
0.858,0.474,0.229,-13.815510557964274,-2.207265822321952,-3.414252226535956,0.289
0.257,0.471,0.524,-13.815510557964274,-0.4572832770603777,-2.543370856981598,0.423
0.272,0.57,0.536,-3.4419881266706813,-1.0788067201997846,-2.89677420992115,0.443
0.0807,0.39,0.534,-13.815510557964274,-1.6928140866053112,-2.6464707411711657,0.244
0.066,0.665,0.57,-12.434228738667928,-2.49858781154388,-3.378428569609454,0.396
0.00118,0.795,0.705,-5.023568569508155,-1.995093040331941,-2.6380438433659927,0.482
0.755,0.691,0.354,-9.4993566674411,-2.16281445500452,-2.7854551407467047,0.457
0.146,0.433,0.53,-13.815510557964274,-2.189247479155473,-1.070021916368552,0.38
0.544,0.563,0.678,-12.965359628594664,-2.1455727972123597,-3.0057624075913485,0.568
0.151,0.476,0.525,-6.691837772759667,-2.461569101223796,-2.4949448645028416,0.313
0.549,0.849,0.19,-6.078766875510778,-2.282772661824356,-3.107759406248196,0.203
